model,horizon,component,rmse,mae,corr
RNN,2,component_58,0.7889137982494715,0.6242350957106076,0.089807488597501
RNN,2,component_59,0.7826371266723372,0.6234971956915258,0.06381121092275928
RNN,2,component_60,0.7832852299186962,0.6268412594533643,0.1539933209620771
RNN,4,overall,0.7992987862682964,0.6380501548314126,0.19118832544693878
RNN,4,component_01,0.7241299277258224,0.5699365334298756,0.5364266797214785
RNN,4,component_02,0.7979142760165604,0.63028974236262,0.4587888585482582
RNN,4,component_03,0.8203168171642454,0.6702138474722868,0.17525650983640959
RNN,4,component_04,0.7886077515390516,0.6206558041843542,0.19836352993594844
RNN,4,component_05,0.8064123533717511,0.6328174692790857,0.09616085490255787
RNN,4,component_06,0.8234039536717546,0.6618957413267487,0.3519330852411519
